date,text
2023-02-08,"#ИТИС_абитуриент 
❗Не забудьте зарегистрироваться на День открытых дверей 11 февраля - https://itiskfu.timepad.ru/event/2198609/#register
Начало в 14:00
Прямой эфир пройдёт в Вк! - https://vk.com/itis_kfu📲 
Адрес - Кремлевская, 35 (13 этаж,ауд. 1310-1311) 
#ИТИС_абитуриент2023 #бакалавриат_ИТИС #ITISinternational #AR #VR #программнаяинженерия #КФУ #ИТИС #робототехника #robotics #fintech #ИТИС_абитуриент"
2023-01-31,Live: ИТИС КФУ
2023-01-20,"НОВЫЙ СТАРТ 👨‍💻Курса ""Тестирование программного обеспечения"" с 7 февраля 2023 года ! 
Ждём всех желающих получить новую востребованную профессию и войти в сферу IT «с нуля». Настоящая программа является достаточной для успешного проведения ручного тестирования программного обеспечения. 
Стоимость обучения 26 000 рублей. 
Продолжительность программы 72 часа. 
Формат обучения гибридный. Очные занятия/онлайн трансляция будут проходить 2 раза в неделю по расписанию. 
Очные практические занятия будут проходить по адресу: г. Казань, Кремлевская, д. 35 (ИТИС). 
Для тех кто не сможет посещать очно, будет организована онлайн трансляция очных занятий, видеозапись занятий будет сохранена. 
📚Программа курса -https://kpfu.ru/itis/korporativnoe-sotrudnichestvo 
📱Регистрация - https://itiskfu.timepad.ru/event/2209617/ 
#ИТИС #КФУ #курсыдополнительногообразования #тестированиеПО"
2023-01-10,"СТАРТ 👨‍💻Курса "" Цифровое лидерство- аналитик» с 1 февраля 2023 года! 
 
Цель программы: 
● получение ключевых умений и навыков бизнес-аналитики, необходимой для работы по профессиям “Аналитик” и “Бизнес-аналитик”; 
● формирование навыков проведения экономического анализа деятельности и выявления проблемы ее функционирования; 
● формирование навыков бизнес-планирования с учетом текущей экономической обстановки; 
● формирование навыков анализа, оптимизации и цифровой трансформации бизнес-процессов в модели управления на основе данных. 
Для успешного освоения настоящей программы не требуется специальных знаний и навыков. 
Стоимость обучения -30 000 рублей. 
Продолжительность программы - 72 часа. 
 
Формат обучения смешанный. 
Теоретическая часть - самостоятельное обучение с помощью видеоуроков и вебинаров. 
Практическая часть - занятия в очном формате по адресу: г. Казань, Кремлевская, д. 35 (ИТИС). 
Для тех кто не сможет посещать очно, будет организована онлайн трансляция очных занятий, видеозапись занятий будет сохранена. 
📚Программа курса https://kpfu.ru/itis/korporativnoe-sotrudnichestvo 
Регистрация - https://itiskfu.timepad.ru/event/2087070/
 
#ИТИС#КФУ#курсыдополнительногообразования#цифровоелидерство"
2022-12-23,"👏😃🏆 Наши студенты и аспиранты стали финалистами ежегодной премии «Студент года - 2022»:

- Хусаенов Динис студент 3 курса как руководитель Студенческого педагогического отряда ""Тайгер"" взял первое место в номинации ""Лучший студенческий трудовой отряд""; 
- Мухортова Елизавета студентка 3 курса взяла специальный приз в номинации ""Лучшее информационное освещение""; 
- студентка 2 курса Голубева Ксения стала лауреатом в номинации ""Открытие года""; 
- аспирант Алексей Леухин стал лауреатом в номинации ""Лучший аспирант в области естественных и физико-математических наук""."
2022-12-17,Live: ИТИС КФУ
2022-12-14,"❗ИТИС приглашает школьников 10-11 классов и их родителей, а также выпускников СПО на День открытых дверей.

День открытых дверей состоится 17 декабря 2022 (суббота) в 14:00 по адресу: г. Казань, ул. Кремлевская, 35, ауд. 1310/1311.
 
Мы расскажем о правилах поступления в КФУ, проходных баллах, грантовых местах, а еще о новых программах магистратуры и бакалавриата. Подготовьте свои вопросы, вы сможете их задать в процессе прямого эфира сотрудникам ИТИС и на очном мероприятии в КФУ. 
Трансляция будет здесь, в нашей группе ВК - https://vk.com/itis_kfu
#ИТИС_абитуриент #бакалавриат_ИТИС#программнаяинженерия #КФУ #ИТИС"
2022-12-08,Директор ИТИС Михаил Абрамский в новом проекте КФУ📽
2022-11-17,"СТАРТ 👨‍💻Курса "" Цифровое лидерство- аналитик» с 1 декабря 2022 года! 
 
Цель программы: 
● получение ключевых умений и навыков бизнес-аналитики, необходимой для 
работы по профессиям “Аналитик” и “Бизнес-аналитик”; 
● формирование навыков проведения экономического анализа деятельности и 
выявления проблемы ее функционирования; 
● формирование навыков бизнес-планирования с учетом текущей экономической 
обстановки; 
● формирование навыков анализа, оптимизации и цифровой трансформации 
бизнес-процессов в модели управления на основе данных. 
Для успешного освоения настоящей программы не требуется специальных знаний и навыков. 
Стоимость обучения -30 000 рублей. 
Продолжительность программы - 72 часа. 
 
Формат обучения смешанный. 
Теоретическая часть- самостоятельное обучение с помощью видеоуроков и вебинаров. 
Практическая часть- занятия в очном формате по адресу: г. Казань, Кремлевская, д. 35 (ИТИС). 
Для тех кто не сможет посещать очно, будет организована онлайн трансляция очных занятий, видеозапись занятий будет сохранена. 
📚Программа курса https://kpfu.ru/itis/korporativnoe-sotrudnichestvo 
 Регистрация - https://itiskfu.timepad.ru/event/2087070/ 
#ИТИС #КФУ #курсыдополнительногообразования #цифровоелидерство"
2022-10-28,Live: ИТИС КФУ
2022-10-07,"Команда первокурсников ИТИС заняла второе место в марафоне ""Зарница""🏆
В Казанском федеральном университете состоялся спортивно-патриотический марафон среди юношей, обучающихся на 1 курсе. В нем приняли участие 160 студентов вуза.
""""Зарница"" – это традиционное мероприятие, которое в этом году проходит в формате марафона. Его цель – совершенствование навыков, владеть которыми должен каждый мужчина как будущий защитник Родины"" - отметил проректор по молодежной политике и воспитательной деятельности КФУ Ариф Межведилов.
Капитан команды ИТИС Нияз Ризванов рассказал, что он участвовал в «Зарнице» и других военно-спортивных мероприятиях не раз, поскольку учился в военном классе. Навыки, полученные в школьные годы, ему очень пригодились. 
""Я был абсолютно уверен, что мы это сделаем, так и произошло! Большое всем спасибо!"" - поделился эмоциями после марафона один из участников команды ИТИС Эид Хоссам Мохамед Ибрахим Абдельфаттах
#ИТИС #КФУ #Зарница 
https://kpfu.ru/itis/komanda-pervokursnikov-itis-zanyala-vtoroe-mesto.html"
2022-10-05,"#ITISbeginnersday2022
Сегодня в пресс-центре Технопарка в сфере высоких технологий «ИТ-парк им. Башира Рамеева» состоялась долгожданная 12-ая торжественная церемония вручения грантов Правительства Республики Татарстан студентам первого курса Института информационных технологий и интеллектуальных систем КФУ🎉
Поздравил студентов и вручил именные гранты заместитель министра цифрового развития государственного управления, информационных технологий и связи Республики Татарстан Рустам Хидиятуллин. 
Он отметил, что ""студенты ИТИС - драйвер в части развития новых ИТ-направлений республики, потенциальные создатели новых идей, кейсов, нестандартных подходов"".
На церемонии были также вручены ведомственные награды директору ИТИС Михаилу Абрамскому и сотрудникам компаний-партнеров, преподавателям ИТИС Илье Кошарскому, Владимиру Чегодаеву и Алисе Родионовой. 
Напутственные слова для новоиспечённых студентов прозвучали также от проректора по цифровой трансформации и инновационной деятельности КФУ Дмитрия Пашина и директора ИТИС Михаила Абрамского. 
Напомним, что гранты выделяются студентам ИТИС с 2011 года Министерством цифрового развития Республики Татарстан. Грантовая система нацелена на поддержку талантливых студентов IT-профиля, удержание лучших IT-кадров в республике, а также на развитие IT-отрасли региона в целом. Всего на церемонии были вручены 30 персональных грантов на обучение в сфере информационных технологий на сумму почти 5 миллионов рублей.
Церемония завершилась традиционной общей фотографией. Поздравляем всех грантополучателей!🎉
#ИТИС #КФУ #ИТИС_грант #программнаяинженерия #бакалавриат_ИТИС
https://kpfu.ru/itis/itisbeginnersday2022-421836.html
Больше фото в альбоме - https://vk.com/album-35488145_287135822
📸 [id162342936|Елизавета Мухортова]"
2022-10-03,"В ИТИС открылась обновленная лаборатория компании [club32159506|Технократия] 🔥 
Изменился не только внешний вид аудитории, но и наполнение образовательных программ Агоны*. Для студентов 2 и 3 курса ИТИС теперь возможен больший выбор предметов для изучения – backend и frontend разработка, системная аналитика и продуктовый дизайн. 
«Технократия» давний партнер Казанского федерального университета. Сотрудничество с ИТИСом началось в 2018 году. 
Преподаватели и менторы Агоны делятся самыми актуальными технологиями и передовыми инструментами, которые они сами используют внутри компании, работая с заказчиками. Лучшие студенты получают оффер на работу на проекты Технократии или в компании-партнеры проекта Агона. За время сотрудничества ИТИС и Агоны уже более 30 студентов трудоустроились на разные позиции в ГК «Технократия». 
*Агона – образовательный проект ГК «Технократия», которая разрабатывает цифровые продукты для топовых заказчиков из ИТ-сектора, финтеха и промышленности. 
#ИТИС #КФУ #Технократия #Агона 
https://kpfu.ru/itis/v-itis-otkrylas-obnovlennaya-laboratoriya-421743.html"
2022-10-03,"Приглашаем учеников школ, колледжей и гимназий с 7 по 11 класс принять участие в конкурсе📝"
2022-09-29,"Студент ИТИС в составе команда КФУ занял второе место в турнире ""Что? Где? Когда?""
Синхронный турнир по игре «Что? Где? Когда?» проводился в рамках проекта «Интеллектуальная олимпиада ПФО среди студентов» под патронатом аппарата полномочного представителя Президента РФ в Приволжском федеральном округе. Турнир был посвящен 77 годовщине Победы в Великой Отечественной войне. Команда КФУ, представлявшая Татарстан, заняла почетное второе место.
В состав команды вошел студент 3 курса ИТИС Даниил Курочкин.
На днях в приемной Президента РФ в Татарстане состоялась церемония награждения призеров с участием Главного федерального инспектора по РТ Виктора Демидова, министра образования и науки РТ Ильсура Хадиуллина и ректора КФУ Ленара Сафина.
Поздравляем!🎉
#ИТИС #КФУ #ЧтоГдеКогда
https://kpfu.ru/itis/student-itis-v-sostave-komanda-kfu-zanyal-vtoroe.html"
2022-09-27,"Студенты ИТИС создали терапевтические мини-игры для повышения концентрации внимания👀
Разработка заняла 2 место на хакатоне «Цифровая Арт-терапия» в рамках международного форума Kazan Digital Week 2022. Команда «Dr.Dev» из ИТИС представляла проект в категории «Игротерапия». За два дня соревнований они придумали и разработали специальное приложение-виджет для Microsoft Windows и Mac OS, которое работает в фоновом режиме. На основе анализа рабочего процесса искусственный интеллект предлагает пользователю раз в определенный промежуток времени сыграть в терапевтические мини-игры для повышения концентрации внимания.
 Проект «OnFocus» высоко оценили на Demo Day в дни проведения международного форума Kazan Digital Week. Команда из ИТИС заняла второе место и получила грант в размере 100 000 рублей для дальнейшего развития виджета. 
Поздравляем!🎉
#ИТИС #КФУ #KazanDigitalWeek2022 #хакатонЦифроваяАрттерапия #DigitalMediaLab
https://kpfu.ru/main_page?p_cid=421574&p_view=1&p_random=197"
2022-09-26,"#Люди_ИТИС
Выпускник ИТИС рассказал, как стать руководителем IT-компании в специальном цикле публикаций КФУ✨
Айнур Минибаев выпускник бакалавриата и магистратуры ИТИС, основавший собственное агентство продуктовой разработки TECHNAXIS в 2017 году. За пять лет сотрудники компании создали более 70 различных цифровых сервисов, мобильных приложений и личных кабинетов для клиентов в России и за рубежом.
Его советы по освоению профессии и развитию в ИТ-сфере читайте в материале на нашем сайте📝
#ИТИС #КФУ #программнаяинженерия
https://kpfu.ru/itis/vypusknik-itis-rasskazal-kak-stat-rukovoditelem.html"
2022-09-23,"Студенты ИТИС в выставочном центре Kazan Expo на Международном форуме Kazan Digital Week 2022🌍
📸 [id162342936|Елизавета Мухортова]
#ИТИС #КФУ #KazanDigitalWeek2022"
2022-09-22,"Михаил Абрамский выступил с докладом на Международном форуме Kazan Digital Week📚 
В эти дни на территории выставочного центра Kazan Expo проходит Международный форум Kazan Digital Week 2022. Форум открыл Президент Республики Татарстан Рустам Минниханов. В мероприятии принимают участие представители Казанского федерального университета. Студенты ИТИС активно посещают интерактивные площадки и выступления спикеров. В первый день форума Михаил Абрамский присоединился к секции «Современные цифровые технологии в образовательном процессе» с докладом «Цифровые компетенции преподавателей гуманитарной сферы». Форум продлится по 24 сентября.🍁 
#Абрамский #ИТИС #КФУ #KazanDigitalWeek2022
https://kpfu.ru/itis/mihail-abramskij-vystupil-s-dokladom-na-421492.html"
2022-09-21,"О поездке в Яльчик🌲 
В минувшие выходные завершилась профильная смена студенческого актива ИТИС в УОЦ «Яльчик». Все прошло, как и задумывалось, насыщенно и с хорошим настроением. Тренинги, игры, спорт, кино, интеллектуальные викторины, танцы и, конечно, невероятные рассветы и закаты на берегу озера🏞 
О том как это было увлекательно мы описали в нашем материале, а еще добавили честные отзывы студентов💁‍♂ 
Спойлер - организаторам такие отзывы очень приятны🕺🎉 
Переходите по ссылке и убедитесь сами📝 
https://kpfu.ru/itis/o-poezdke-v-yalchik-421430.html 
#ИТИС #КФУ #Яльчик #актив_ИТИС"
2022-09-15,"Ура! Новый митап от наших ребят для студентов КФУ! Советуем сходить, чтобы зарядиться на весь учебный год! 
23-его сентября в аудитории 1310 в 17:30 пройдет SDA autumn’22 🍁. 
SDA (Student Developer Academy) - площадкa, на которой студенты могут поделиться промышленным опытом разработки. Собрали для вас доклады от ребят из Mircod’a, Stackers и Micord’a. 
Программа митапа: 
🍂Гилязов Азат, студент 4 курса ИТИС, Mircod - доклад про Jetpack Compose, рассмотрим технологию и познакомимся с ней поближе 
🍂Чулпан Хайруллина, Stackers - поговорим коротко о том, как устроен наш организм, почему важно переключаться на разные сферы и как найти СВОЙ баланс 
🍂Тыщенко Леонид, студент 4 курса ИТИС, Micord - доклад про сравнение фреймворков Micronaut vs Spring Boot, киллер-фичи, разбор контекстов, рассмотрим вместе возможность расширения фреймворков 
🍁Вход свободный, но просьба записаться через Google Form, чтобы мы оценили примерное количество участников - https://forms.gle/3eAEkEJZtaMGQ1xZ8 
Подробнее про Student Developer Academy - itishub.github.io/itishub-frontend/community/"
2022-09-14,"НОВЫЙ СТАРТ 👨‍💻Курса ""Тестирование программного обеспечения"" с 20 сентября!
Ждём всех желающих получить новую востребованную профессию и войти в сферу IT «с нуля». Настоящая программа является достаточной для успешного проведения ручного тестирования программного обеспечения. 
Стоимость обучения 26 000 рублей. 
Продолжительность программы 72 часа. 
Формат обучения гибридный. Очные занятия/онлайн трансляция будут проходить 2 раза в неделю по расписанию. 
Очные практические занятия будут проходить по адресу: г. Казань, Кремлевская, д. 35 (ИТИС). 
Для тех кто не сможет посещать очно, будет организована онлайн трансляция очных занятий, видеозапись занятий будет сохранена. 
📚Программа курса - https://kpfu.ru/itis/korporativnoe-sotrudnichestvo/programma-kursa-39specialist-po-testirovaniju 
📱Регистрация - https://itiskfu.timepad.ru/event/2087070/ 
#ИТИС #КФУ #курсыдополнительногообразования #тестированиеПО"
2022-09-12,"Памяти Равиля Магсумовича Хадиева 
 
10 сентября ушел из жизни Хадиев Равиль Магсумович - старший преподаватель кафедры теоретической кибернетики ИВМИТ-ВМК КФУ, учитель и наставник нескольких поколений выпускников Казанского университета. 
Очень многие сотрудники и студенты IT-направлений нашего университета, а также разработчики и руководители IT-компаний Казани, Республики Татарстан и России могут назвать его своим учителем. 
Деятельность Равиля Магсумовича была неразрывно связана с Казанским университетом - кафедрой теоретической кибернетики и олимпиадным движением по программированию. Он в течение всей своей педагогической деятельности преподавал курсы по информатике, программированию, обучающим системам. Под руководством Хадиева Р.М. и его коллег по олимпиадному центру команды студентов Казанского университета достигали высоких мест на всероссийских и международных конкурсах и олимпиадах. Вовлекал он в олимпиадное движение не только студентов университета, но и школьников, разрабатывая для них методические материалы и задания к экзаменам и соревнованиям. 
В педагогической работе его всегда отличали доброта, справедливость, большая поддержка и помощь своим ученикам. Он всегда отвечал на любой вопрос студентов, был к ним доброжелателен, и студенты всегда отвечали ему тем же. 
Коллектив ИТИС соболезнует родным и близким Равиля Магсумовича, а также коллективу кафедры теоретической кибернетики ИВМИТ-ВМК КФУ. Мы будем помнить его не только как замечательного педагога, но и как разностороннего человека, интересовавшегося историей, культурой, языками и многим другим. 
Светлая память."
2022-09-08,"Студенты ИТИС разработали цифровой сервис для проекта КФУ ""Открытая модель образования: формирование универсальных компетенций""📚
В этом году курсы по выбору в рамках проекта стали доступны и первокурсникам. Можно выбрать на весенний семестр интересующие дисциплины из более 15 на выбор из трех образовательных модулей (так называемого общеуниверситетского ядра): «Философия», «История (история России, всеобщая история)», «Естественно-научная картина мира». Таким образом можно создать свой индивидуальный маршрут в образовательном пространстве КФУ. Проект предполагает смешанные академические группы из студентов разных институтов и направлений подготовки. 
Выбор дисциплин осуществляется при помощи специального цифрового сервиса. Платформа была создана авторским коллективом лаборатории ИТИС Smart Education Lab (Руслан Сафиуллин, Данил Трофимов, Михаил Казаков (студенты бакалавриата ИТИС), Эвелина Равилова (выпускница ИТИС 2021года)). Проект курировали директор ИТИС Михаил Абрамский и магистрант ИТИС, руководитель по технологиям лаборатории Smart Education Lab Артур Атнагулов. 
Сервис элективов помогает распределять студентов на курсы по выбору и содержит обширный функционал – презентации курсов, видео-презентации, содержание курсов, требования, ссылки на ресурсы, список преподавателей и многое другое. Есть возможность для студентов повторно подавать заявки. 
Ссылка на сервис - https://electives-platform.kpfu.ru/login
Видеоинструкция по работе с сервисом - https://www.youtube.com/watch?v=-mqDFnlmano
Телеграм-канал проекта - https://t.me/+Ayuqwci-L_UwZjYy
https://kpfu.ru/itis/studenty-itis-razrabotali-cifrovoj-servis-dlya.html
#ИТИС #КФУ #ОткрытаямодельобразованияКФУ #SmartEducationLab"
2022-09-06,"Студенты ИТИС стали призерами соревнования по спортивному программированию Volgograd STU Open 2022👨‍💻
Контест проходил 3-4 сентября в Волгограде. 
В ходе соревнования 27 командам-участникам из 12 университетов Поволжья и Юга России предстояло решить 10 задач разной сложности за 5 часов. Команды Казанского федерального университета, в составе которых студенты ИТИС, завоевали: 
Диплом I степени: команда Kazan FU#1 (Дмитрий Судаков, 
Рафаэль Фазылов, Андрей Белобородов, ИТИС, 2 курс) 
Диплом II степени на основном соревновании и 1 место в хакатоне ""Стереотек"": команда Kazan FU#2 (Тимур Бикмуллин, Азамат Кашбиев, ИВМиИТ, 1 курс магистратуры и 3 курс, Инсаф Файзрахманов, ИТИС, 3 курс) 
Поздравляем участников с успешным выступлением на Первом открытом чемпионате ВолгГТУ по командному спортивному программированию.
#ИТИС #КФУ #спортивноепрограммирование #программнаяинженерия
https://kpfu.ru/itis/studenty-itis-stali-prizerami-sorevnovaniya-po.html"
2022-09-05,"Творческий актив ИТИС встретился с первокурсниками💫
Старшекурсники провели мастер-классы, познакомили новичков с руководителями направлений и подарили мерч ИТИС. 
Вокалистка коллектива ""ITIS Music"" Ксения Голубева рассказала о правильной технике дыхания во время пения, а руководитель театрального коллектива ""A tout prix"" Анна Будревич (культорг) провела импровизационную игру, где командам нужно было придумать сценку, исходя из заданного места, предмета конфликта и события. В завершение встречи прошел мастер-класс от участников танцевального коллектива ""ArtLab"", первокурсники выучили хореографическую связку.💃🕺
На данном этапе в коллективы могут попасть все желающие, вне зависимости от навыков. Руководители направлений обещают обучить новых студентов к ближайшим осенним выступлениям. 
«Во все направления сразу появились желающие, поэтому предвидим качественный концерт на День первокурсника. Надеемся на то, что первокурсники оценили нашу «ламповую» атмосферу, это было нашей целью: чтобы люди приходили к нам не только за баллами, а для того, чтобы поделиться своим опытом, самим научиться чему-то новому и просто хорошо провести время в творческой среде» - поделилась эмоциями после встречи культорг ИТИС Анна Будревич.
Больше фото здесь https://kpfu.ru/itis/tvorcheskij-aktiv-itis-vstretilsya-s-421116.html
#ИТИС #КФУ"
2022-09-05,"#Люди_ИТИС
 Директор ИТИС поделился секретами успеха со студентами КФУ🚀
Михаил Абрамский открыл цикл встреч с руководителями структурных подразделений и молодыми учеными вуза лекцией ""Когда не смог выбрать между IT и образованием"". Он рассказал об учёбе в США, начале карьеры в IT-компании, а также об опыте в качестве руководителя ИТИС. Студенты получили советы о том, как и зачем нужно находить себе единомышленников, бороться с эмоциональным выгоранием и развиваться в профессиональной среде. 
Мероприятие прошло в рамках всероссийской просветительской акции «Поделись своим знанием», организованной обществом «Знание».
📌В КФУ пройдут еще пять встреч:
5 сентября, 14.00, спикер – Михаил Варфоломеев, заведующий кафедрой разработки и эксплуатации месторождений трудноизвлекаемых углеводородов Института геологии и нефтегазовых технологий, кандидат химических наук, председатель Ассоциации молодых ученых КФУ. 
 
6 сентября, 14.00, спикер – Лилия Бакулина, декан юридического факультета, доктор юридических наук, депутат Казанской городской Думы. 
 
7 сентября, 14.00, спикер – Леонид Толчинский, директор Высшей школы журналистики и медиакоммуникаций, кандидат социологических наук. 
 
8 сентября, 14.00, спикер – Михаил Щелкунов, директор Института социально-философских наук и массовых коммуникаций, доктор философских наук. 
 
9 сентября, 14.00, спикер – Андрей Киясов, проректор по биомедицинскому направлению, директор Института фундаментальной медицины и биологии, доктор медицинских наук.Для участия в них необходима регистрация (https://forms.yandex.ru/u/630c6e00c758c9cb0e08fbbf/). Посмотреть выступления спикеров можно будет на сайте (https://marathon.znanierussia.ru/), а также в группе Российского общества «Знание» «ВКонтакте (https://vk.com/znanierussia)».
https://kpfu.ru/itis/direktor-itis-podelilsya-sekretami-uspeshnoj.html
#ИТИС #КФУ"
2022-09-01,"С Днём знаний, ИТИСовцы!🎉
Первокурсники и студенты старших курсов бакалавриата, магистранты и аспиранты, начинаем новый учебный год с большим вдохновением! 
Поздравляем студентов 1 курса с поступлением в ИТИС! Впереди у вас лучшие студенческие годы в стенах Казанского федерального университета! Ловите момент и каждый день старайтесь достигать новых высот в учебе и в общественной жизни. Пусть ваше студенчество будет насыщенным и успешным! Всё получится!👏🏻
Сегодня на организационных собраниях первокурсников поздравил с Днём знаний проректор по цифровой трансформации и инновационной деятельности КФУ Дмитрий Пашин. 
Директор ИТИС Михаил Абрамский познакомил новых студентов с коллективом института и рассказал об особенностях обучения. Презентации о внеучебной деятельности представили студенты старших курсов, организаторы активистов различных направлений.
Для второго профиля бакалавриата (Разработка цифровых продуктов в распределенных командах (с применением дистанционных технологий) собрание прошло в онлайн формате. 
Поздравляем первокурсников с официальным началом студенческой жизни!🎉
#ИТИС #КФУ #программнаяинженерия #ИТИС_абитуриент #Люди_ИТИС #магистратура_ИТИС #бакалавриат_ИТИС 
#ITISinternational
https://kpfu.ru/itis/s-dnjom-znanij-itisovcy-421047.html"
