text,target
"['дача', 'дед', 'и', 'внук', 'убирать', 'лист', 'в', 'двор', 'внук', 'заметить', 'червяк', 'который', 'не', 'мочь', 'залезть', 'в', 'и', 'говорить', '–', 'дед', 'спорить', 'на', '10', 'бакс', 'я', 'червяк', 'обратно', 'в', 'он', 'дырка', 'дед', 'говорить', '–', 'не', 'получиться', 'червяк', 'слишком', 'мягкий', 'и', 'ну', 'да', 'ладный', 'спорить', 'внук', 'побежать', 'домой', 'вернуться', 'с', 'баночка', 'лак', 'для', 'покрасить', 'червь', 'подождать', 'пока', 'и', 'с', 'лёгкость', 'засунуть', 'он', 'в', 'дырка', 'дед', 'дать', 'внук', '10', 'бакс', 'взять', 'этот', 'баночка', 'с', 'лак', 'и', 'побежать', 'в', 'дом', 'через', '30', 'минута', 'из', 'дом', 'выйти', 'бабка', 'и', 'улыбаться', 'отдать', 'внук', 'ещё', '10', 'бакс', '–', 'бабуля', 'дед', 'я', 'уже', 'дать', '10', 'бакс', '–', 'это', 'остаться', 'дед', 'банк', 'с', 'лак', 'в', 'срак', 'и', 'умереть']",jumoreski
"['монашка', 'пойти', 'ловить', 'рыба', 'и', 'выловить', 'здоровый', 'проходить', 'мимо', 'мужик', 'и', 'говорить', 'опиздинительный', 'рыба', 'монашка', 'как', 'вы', 'себя', 'позволять', 'такой', 'выражение', 'я', 'же', 'монашка', 'мужик', 'оказываться', 'шутник', 'не', 'глаз', 'отвечать', 'ты', 'я', 'не', 'понять', 'это', 'же', 'название', 'рыба', 'монашка', 'приходить', 'к', 'матушка', 'и', 'говорить', 'смотреть', 'матушка', 'я', 'поймать', 'опиздинительный', 'рыба', 'матушка', 'сестра', 'как', 'ты', 'себя', 'позволять', 'такой', 'выражение', 'в', 'монастырь', 'да', 'ведь', 'это', 'же', 'название', 'рыба', 'отвечать', 'бедный', 'монашка', 'и', 'матушка', 'который', 'в', 'рыба', 'тоже', 'ни', 'верить', 'матушка', 'приходить', 'к', 'поп', 'и', 'говорить', 'смотреть', 'батюшка', 'что', 'сестра', 'принести', 'опиздинительный', 'рыба', 'поп', 'в', 'шок', 'как', 'ты', 'мочь', 'матушка', 'такой', 'выражение', 'что', 'ты', 'батюшка', 'это', 'просто', 'название', 'рыба', 'говорить', 'и', 'поп', 'никогда', 'не', 'видеть', 'лёша', 'конечно', 'верить', 'вечером', 'в', 'монастырь', 'приезжать', 'с', 'проверка', 'поп', 'он', 'на', 'почётный', 'место', 'в', 'и', 'радостно', 'рука', 'объявлять', 'сегодня', 'один', 'из', 'наш', 'сестра', 'поймать', 'опиздинительный', 'рыба', 'матушка', 'весь', 'день', 'готовить', 'этот', 'опиздинительный', 'рыба', 'и', 'теперь', 'мы', 'всё', 'вместе', 'быть', 'есть', 'этот', 'опиздинительный', 'рыба', 'а', 'вы', 'тут', 'жить']",jumoreski
"['в', 'дверь', 'постучать', 'подумать']",jumoreski
"['идти', 'по', 'море', 'корабль', 'на', 'мостик', 'стоить', 'старый', 'капитан', 'в', 'фуражка', 'и', 'прочий', 'и', 'с', 'курить', 'трубка', 'тут', 'появляться', 'молодой', 'юнга', 'вставать', 'недалеко', 'и', 'тоже', 'начинать', 'трубочка', 'раскуривать', 'капитан', 'на', 'он', 'смотреть', 'и', 'говорить', 'что', 'курить', 'салага', 'табачок', 'товарищ', 'капитан', 'вот', 'из', 'дом', 'попробовать', 'капитан', 'брать', 'трубочка', 'затягиваться', 'выпускать', 'кольцо', 'дым', 'и', 'говорить', 'эх', 'салага', 'херня', 'ты', 'курить', 'а', 'что', 'вы', 'курить', 'товарищ', 'капитан', 'капитан', 'делать', 'смачный', 'затяжка', 'выпускать', 'несколько', 'густой', 'кольцо', 'от', 'удовольствие', 'и', 'говорить', 'настоящий', 'морской', 'волк', 'курить', 'только', 'волос', 'с', 'пизда', 'любимый', 'женщина', 'а', 'теперь', 'марш', 'на', 'салага', 'ну', 'юнга', 'удивиться', 'почесать', 'затылок', 'и', 'убежать', 'на', 'служба', 'а', 'через', '2', 'неделя', 'после', 'тот', 'как', 'корабль', 'вернуться', 'в', 'порт', 'и', 'снова', 'уйти', 'в', 'плавание', 'встретиться', 'на', 'тот', 'же', 'место', 'вновь', 'капитан', 'с', 'трубка', 'и', 'юнга', 'юнга', 'раскуривать', 'свой', 'трубочка', 'смачно', 'затягиваться', 'выпускать', 'в', 'общий', 'ловить', 'по', 'полный', 'капитан', 'на', 'он', 'смотреть', 'и', 'говорить', 'ну', 'что', 'салага', 'что', 'у', 'ты', 'на', 'этот', 'раз', 'за', 'табачок', 'это', 'не', 'табачок', 'товарищ', 'капитан', 'а', 'как', 'вы', 'и', 'говорить', 'волос', 'с', 'лобок', 'любимый', 'женщина', 'хотеть', 'попробовать', 'капитан', 'брать', 'у', 'юнга', 'трубочка', 'делать', 'затяжка', 'и', 'вдруг', 'начинать', 'кашлять', 'кашлять', 'и', 'материться', 'и', 'вытереть', 'слеза', 'возвращать', 'юнга', 'трубочка', 'и', 'говорить', 'так', 'вот', 'кто', 'боцман']",jumoreski
"['школьный', 'учитель', 'спрашивать', 'ученик', 'о', 'профессия', 'родитель', 'тим', 'чем', 'твой', 'мама', 'заниматься', 'на', 'работа', 'тим', 'вставать', 'и', 'гордо', 'говорить', 'она', 'доктор', 'замечательный', 'ну', 'как', 'насчёт', 'ты', 'девочка', 'произносить', 'мой', 'папа', 'почта', 'спасибо', 'говорить', 'учитель', 'ну', 'а', 'твой', 'родитель', 'что', 'делать', 'билл', 'билл', 'гордо', 'вставать', 'и', 'объявлять', 'мой', 'папа', 'играть', 'музыка', 'в', 'бордель', 'обалдеть', 'учитель', 'решить', 'направиться', 'к', 'билл', 'домой', 'в', 'какой', 'условие', 'вы', 'ребёнок', 'спрашивать', 'он', 'у', 'отец', 'тот', 'отвечать', 'вообщеть', 'я', 'программист', 'и', 'специализироваться', 'на', 'коммуникационный', 'протокол', 'в', 'система', 'ну', 'как', 'объяснить', 'это', 'пацан', 'ну', 'не', 'такой', 'же', 'образ', 'ты', 'с', 'понимание', 'и', 'лёгкий', 'ответить', 'учитель']",jumoreski
"['в', 'казарма', 'раздаваться', 'телефонный', 'звонок', 'и', 'проходить', 'мимо', 'младший', 'офицер', 'поднимать', 'трубка', 'да', 'сказать', 'сколько', 'в', 'ваш', 'часть', 'джип', 'два', 'сэр', 'но', 'один', 'из', 'они', 'не', 'работать', 'а', 'на', 'второй', 'ездить', 'этот', 'жирный', 'задница', 'полковник', 'рассесть', 'что', 'такой', 'жирный', 'так', 'точно', 'сэр', 'жирный', 'и', 'представить', 'трудно', 'а', 'знать', 'ли', 'вы', 'с', 'кто', 'разговаривать', 'нет', 'сэр', 'вы', 'разговаривать', 'с', 'полковник', 'гудок']",jumoreski
"['приходить', 'в', 'бордель', 'инженер', 'физик', 'и', 'любитель', 'видеоигра', 'серия', 'ring', 'прекрасно', 'разбираться', 'в', 'и', 'игра', 'первый', 'заходить', 'инженер', 'молча', 'делать', 'свой', 'дело', 'уходить', 'следом', 'заходить', 'физик', 'начинать', 'высчитывать', 'сопротивление', 'сила', 'трение', 'прочее', 'в', 'итог', 'потом', 'за', '10', 'минута', 'тpaxаета', 'шлюxy', 'тот', 'в', 'экстаз', 'последний', 'заходить', 'любитель', 'видеоигра', 'серия', 'ring', 'прекрасно', 'разбираться', 'в', 'и', 'игра', 'проститутка', 'лицо', 'и', 'с', 'слово', 'фу', 'мерзость', 'уходить', 'из', 'комната']",jumoreski
"['перед', 'выход', 'на', 'арена', 'слон', 'делать', 'клизма', 'чтобы', 'на', 'арена', 'не', 'стоять', 'три', 'слон', 'готовый', 'к', 'клизма', 'слон', 'в', 'сам', 'сила', 'и', 'старый', 'слон', 'по', 'очередь', 'орать', 'бля', 'ну', 'пожалуйста', 'не', 'надо', 'бля', 'ну', 'больно', 'же', 'слон', 'в', 'сам', 'сила', 'ругаться', 'блядь', 'ну', 'сколько', 'можно', 'каждый', 'неделя', 'один', 'и', 'тоже', 'ёбаный', 'работа', 'как', 'же', 'это', 'старый', 'слон', 'стоить', 'молча', 'и', 'не', 'и', 'только', 'в', 'момент', 'когда', 'вогнать', 'клизма', 'слегка', 'повернуть', 'голова', 'к', 'дрессировщик', 'как', 'там', 'зал', 'сегодня']",jumoreski
"['однажды', 'водолаз', 'наслаждаться', 'красота', 'подводный', 'мир', 'океан', 'на', 'глубина', '10', 'метр', 'вдруг', 'он', 'увидеть', 'мужик', 'который', 'плавать', 'на', 'тот', 'же', 'глубина', 'что', 'и', 'он', 'только', 'без', 'костюм', 'водолаз', 'ещё', 'на', '5', 'метр', 'мужик', 'опять', 'рядом', 'водолаз', 'ещё', 'на', '10', 'метр', 'но', 'мужик', 'без', 'следовать', 'по', 'не', 'совершенно', 'обалдеть', 'от', 'такой', 'смелый', 'водолаз', 'достать', 'водонепроницаемый', 'доска', 'и', 'специальный', 'подводный', 'написать', 'на', 'она', 'мужик', 'ты', 'что', 'на', '25', 'метр', 'без', 'мужик', 'взять', 'у', 'водолаз', 'доска', 'и', 'и', 'написать', 'ответ', 'я', 'тон', 'ебать']",jumoreski
"['война', 'год', 'генерал', 'ехать', 'на', 'джип', 'на', 'фронт', 'а', 'навстречу', 'он', 'в', 'паника', 'бежать', '10000', 'солдат', 'оружие', 'за', 'они', 'гнаться', '10', 'солдат', 'генерал', 'что', 'вы', 'бежать', 'они', 'ведь', 'весь', '10', 'человек', 'а', 'откуда', 'мы', 'знать', 'за', 'кто', 'из', 'мы', 'они', 'гнаться', 'генерал', 'джип', 'и', 'тоже']",jumoreski
"['трамвай', 'заходить', 'старый', 'бабушка', 'парень', 'с', 'свой', 'место', 'бабушка', 'садиться', 'и', 'благодарить', 'он', 'вдруг', 'с', 'другой', 'место', 'вставать', 'ещё', 'один', 'парень', 'на', 'свой', 'место', 'и', 'говорить', 'ты', 'не', 'задуматься', 'сделать', 'добро', 'пока', 'я', 'сидеть', 'и', 'смотреть', 'ты', 'большой', 'заслужить', 'это', 'место', 'парень', 'сесть', 'следом', 'встать', 'другой', 'мужчина', 'и', 'говорить', 'ты', 'хватить', 'смелость', 'признать', 'свой', 'ошибка', 'и', 'сделать', 'другой', 'добрый', 'дело', 'садиться', 'ты', 'заслужить', 'это', 'место', 'следом', 'встать', 'ещё', 'один', 'мужик', 'с', 'такой', 'же', 'и', 'так', 'слово', 'за', 'слово', 'весь', 'трамвай', 'начать', 'меняться', 'место', 'наконец', 'с', 'свой', 'место', 'встать', 'последний', 'мужчина', 'и', 'говорить', 'ну', 'что', 'бабка', 'вставать', 'ебать']",jumoreski
"['петербург', 'один', 'из', 'группа', 'турист', 'и', 'случайно', 'зайти', 'в', 'зал', 'один', 'из', 'картина', 'он', 'настолько', 'поразить', 'что', 'он', 'незаметно', 'для', 'себя', 'начать', 'говорить', 'какой', 'форма', 'какой', 'линия', 'какой', 'случайный', 'прохожий', 'подходить', 'к', 'он', 'и', 'говорить', 'мужчина', 'а', 'вы', 'когданибудь', 'ёж', 'нет', 'а', 'что', 'да', 'ничего', 'вы', 'просто', 'говорить', 'какуюто', 'хуйня', 'я', 'тоже', 'решить', 'сказать']",jumoreski
"['утро', 'в', 'вчера', 'сидеть', 'с', 'полотенце', 'голова', 'и', 'с', 'жуткий', 'слушать', 'половой', 'читать', 'счёт', 'разный', '–', 'ага…', '–', 'три', 'рубль', 'угу', 'водка', '–', 'пять', 'рубль', 'ого', 'девочка', '–', 'двадцать', 'пять', 'рубль', 'ну', 'да…', 'музыка', '–', 'пятьдесят', 'рубль', 'как…', 'какой', 'музыка', 'в', 'рояль']",jumoreski
"['сын', 'приходить', 'домой', 'с', 'серьга', 'в', 'уха', 'отец', 'смотреть', 'на', 'он', 'и', 'говорить', '–', 'знать', 'сынок', 'испокон', 'век', 'серьга', 'в', 'ухо', 'носить', 'либо', 'пират', 'либо', 'пидарас', 'я', 'сейчас', 'выглянуть', 'в', 'окно', 'и', 'не', 'дать', 'бог', 'там', 'не', 'стоить', 'твой', 'корабль', 'отец', 'выглядывать', 'в', 'окно', 'а', 'там', 'действительно', 'стоить', 'корабль', 'развиваться', 'на', 'ветер', 'отец', 'смотреть', 'на', 'сын', 'и', 'извиняться', 'тон', 'говорить', '–', 'извинить', 'сын', 'что', 'я', 'в', 'ты', 'сомневаться', 'сын', 'с', 'доставать', 'пробка', '–', 'а', 'это', 'и', 'не', 'мой', 'корабль']",jumoreski
"['ребята', 'должный', 'сказать', 'что', 'у', 'вы', 'очень', 'плохо', 'обстоять', 'дело', 'с', 'математика', 'я', 'думать', 'что', '90', 'процент', 'из', 'вы', 'не', 'сдать', 'контрольный', 'голос', 'из', 'класс', 'да', 'мы', 'здесь', 'столько', 'и', 'не', 'набраться']",jumoreski
"['в', 'английский', 'семья', 'родиться', 'мальчик', 'который', 'до', 'пятнадцать', 'год', 'не', 'произнести', 'ни', 'слово', 'однажды', 'в', 'время', 'завтрак', 'он', 'вдруг', 'а', 'можно', 'зубочистка', 'что', 'же', 'ты', 'ранний', 'молчать', 'райан', 'удивиться', 'весь', 'семья', 'гослинг']",jumoreski
"['папа', 'а', 'почему', 'вы', 'назвать', 'мой', 'сестра', 'маргарита', 'потому', 'что', 'твой', 'мама', 'очень', 'любить', 'пицца', 'маргарита', 'спасибо', 'папа', 'нет', 'проблема', '40', 'смотреть', 'пицца', 'за', 'рубль', 'с', 'мой', 'любимый', 'и', 'вкусный', 'соус', 'jack', 'и']",jumoreski
"['подходить', 'както', 'кристофер', 'к', 'поль', 'и', 'спрашивать', 'поль', 'а', 'что', 'такой', 'capish', 'ну', 'снимать', 'штаны', 'да', 'пойти', 'ты', 'нахуй', 'поль', 'капитан', 'ты', 'или', 'нет', 'я', 'не', 'быть', 'это', 'делать', 'мальчик', 'мой', 'снимать', 'штаны', 'говорить', 'снимать', 'кристофер', 'штаны', 'и', 'поль', 'вставлять', 'сам', 'знать', 'что', 'сам', 'знать', 'куда', 'через', 'время', 'кристофер', 'спрашивать', 'поль', 'так', 'что', 'такой', 'capish', 'ну', 'смотреть', 'у', 'ты', 'хуй', 'в', 'жопа', 'и', 'у', 'я', 'хуй', 'в', 'жопа', 'capish']",jumoreski
"['профессор', 'флитвика', 'заходить', 'в', 'подходить', 'к', 'стойка', 'и', 'подпрыгнуть', 'кричать', 'хотеть', 'забрать', 'средство', 'с', 'счёт', 'нет', 'ответ', 'флитвика', 'повторять', 'снова', 'подпрыгнуть', 'хотеть', 'забрать', 'средство', 'с', 'счёт', 'снова', 'никакой', 'реакция', 'флитвика', 'подпрыгивать', 'в', 'третий', 'раз', 'пустить', 'я', 'в', 'мой', 'пожалуйста', 'и', 'на', 'этот', 'раз', 'никто', 'не', 'выполнять', 'он', 'просьба', 'карлик', 'потерять', 'терпение', 'обходить', 'стойка', 'и', 'видеть', 'с', 'другой', 'сторона', 'гоблин', 'тоже', 'карлик', 'который', 'подпрыгивать', 'спрашивать', 'а', 'у', 'профессор', 'флитвика', 'есть', 'рядом', 'проходить', 'о', 'он', 'гдеть', 'у', 'я']",jumoreski
['скрестить'],jumoreski
"['идти', 'по', 'море', 'корабль', 'на', 'мостик', 'стоить', 'старый', 'капитан', 'в', 'фуражка', 'и', 'прочий', 'и', 'с', 'курить', 'трубка', 'тут', 'появляться', 'молодой', 'юнга', 'вставать', 'недалеко', 'и', 'тоже', 'начинать', 'трубочка', 'раскуривать', 'капитан', 'на', 'он', 'смотреть', 'и', 'говорить', 'что', 'курить', 'салага', 'табачок', 'товарищ', 'капитан', 'вот', 'из', 'дом', 'попробовать', 'капитан', 'брать', 'трубочка', 'затягиваться', 'выпускать', 'кольцо', 'дым', 'и', 'говорить', 'эх', 'салага', 'херня', 'ты', 'курить', 'а', 'что', 'вы', 'курить', 'товарищ', 'капитан', 'капитан', 'делать', 'смачный', 'затяжка', 'выпускать', 'несколько', 'густой', 'кольцо', 'от', 'удовольствие', 'и', 'говорить', 'настоящий', 'морской', 'волк', 'курить', 'только', 'волос', 'с', 'пизда', 'любимый', 'женщина', 'а', 'теперь', 'марш', 'на', 'салага', 'ну', 'юнга', 'удивиться', 'почесать', 'затылок', 'и', 'убежать', 'на', 'служба', 'а', 'через', '2', 'неделя', 'после', 'тот', 'как', 'корабль', 'вернуться', 'в', 'порт', 'и', 'снова', 'уйти', 'в', 'плавание', 'встретиться', 'на', 'тот', 'же', 'место', 'вновь', 'капитан', 'с', 'трубка', 'и', 'юнга', 'юнга', 'раскуривать', 'свой', 'трубочка', 'смачно', 'затягиваться', 'выпускать', 'в', 'общий', 'ловить', 'по', 'полный', 'капитан', 'на', 'он', 'смотреть', 'и', 'говорить', 'ну', 'что', 'салага', 'что', 'у', 'ты', 'на', 'этот', 'раз', 'за', 'табачок', 'это', 'не', 'табачок', 'товарищ', 'капитан', 'а', 'как', 'вы', 'и', 'говорить', 'волос', 'с', 'лобок', 'любимый', 'женщина', 'хотеть', 'попробовать', 'капитан', 'брать', 'у', 'юнга', 'трубочка', 'делать', 'затяжка', 'и', 'вдруг', 'начинать', 'кашлять', 'кашлять', 'и', 'материться', 'и', 'вытереть', 'слеза', 'возвращать', 'юнга', 'трубочка', 'и', 'говорить', 'так', 'вот', 'кто', 'свинья', 'в']",jumoreski
"['готовиться', 'к', 'свой', 'вот', 'смотреть', 'быть', 'торт', 'фейерверк', 'и', 'кольцо', 'нафиг', 'ну', 'как', 'же', 'есть', 'торт', 'запускать', 'фейерверк', 'а', 'кольцо', 'так', 'вот', 'же', 'оно', 'и', 'исчезать', 'нахуй']",jumoreski
"['приходить', 'муж', 'домой', 'а', 'там', 'мужик', 'голый', 'спрашивать', 'кто', '–', 'я', '–', 'а', 'почему', 'хуй', 'стоить', '–', 'под', 'давление']",jumoreski
"['старый', 'бретонец', 'на', 'собрание', 'встретиться', 'с', 'свой', 'старина', 'я', 'хотеть', 'выразить', 'ты', 'мой', 'сожаление', 'я', 'слышать', 'ты', 'на', 'прошлый', 'неделя', 'похоронить', 'жена', 'прийтись', 'старик', 'ответить', 'умереть', 'знать', 'ли']",jumoreski
"['карлик', 'заходить', 'в', 'бар', 'подходить', 'к', 'стойка', 'и', 'подпрыгнуть', 'кричать', 'пиво', 'пожалуйста', 'нет', 'ответ', 'карлик', 'повторять', 'снова', 'подпрыгнуть', 'пиво', 'пожалуйста', 'снова', 'никакой', 'реакция', 'карлик', 'подпрыгивать', 'в', 'третий', 'раз', 'налить', 'я', 'кружка', 'пиво', 'пожалуйста', 'и', 'на', 'этот', 'раз', 'никто', 'не', 'выполнять', 'он', 'просьба', 'карлик', 'потерять', 'терпение', 'обходить', 'барный', 'стойка', 'и', 'видеть', 'как', 'бармен', 'улитка', 'ести']",jumoreski
"['папа', 'а', 'почему', 'вы', 'назвать', 'мой', 'сестра', 'маргарита', 'потому', 'что', 'твой', 'мама', 'очень', 'любить', 'пицца', 'маргарита', 'спасибо', 'папа', 'нет', 'проблема', 'додстер']",jumoreski
"['вы', 'слушать', 'сто', 'пятый', 'да', 'конечно', 'а', 'он', 'они', 'весь', 'сто', 'четыре', 'написать', 'дорогой']",jumoreski
"['подходить', 'гарри', 'к', 'профессор', 'снейп', 'и', 'спрашивать', '–', 'профессор', 'а', 'что', 'такой', 'нюанс', '–', 'ну', 'смотреть', 'поттер', '–', 'говорить', 'снейп', '–', 'видеть', 'вон', 'тот', 'банк', 'на', 'верхний', 'полка', '–', 'да', '–', 'достать', 'она', 'тут', 'гарри', 'доставать', 'палочка', 'и', 'аккуратно', 'с', 'помощь', 'магия', 'опускать', 'баночка', 'снейп', 'на', 'стол', '–', 'хорошо', 'поттер', 'видеть', 'в', 'она', 'два', 'глаз', 'плавать', '–', 'да', 'профессор', 'так', 'что', 'же', 'такой', 'нюанс', '–', 'ну', 'смотреть', 'у', 'ты', 'глаз', 'и', 'у', 'я', 'глаз', 'но', 'есть', 'один', 'нюанс']",jumoreski
"['встретить', 'и', 'говорить', 'поворачиваться', 'ведь', 'среда', 'это', 'маленький', 'пятница']",jumoreski
"['почему', 'панк', 'бессмертный', 'они', 'нельзя', 'замочить']",jumoreski
"['и', 'юмореска', 'будто', 'писать']",jumoreski
